"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2015-05-26,1506,1062,229,213,16,21.56
2015-05-27,1348,949,253,236,17,26.66
2015-05-28,1492,1021,231,214,17,22.62
2015-05-29,1402,954,239,221,18,25.05
2015-05-30,1493,975,220,208,12,22.56
2015-05-31,1531,998,194,177,17,19.44
2015-06-01,1656,1182,262,239,23,22.17
2015-06-02,1362,956,244,221,23,25.52
2015-06-03,1369,914,187,179,8,20.46
2015-06-04,1439,986,246,228,18,24.95
2015-06-05,1422,998,250,234,16,25.05
2015-06-06,1631,1139,263,239,24,23.09
2015-06-07,1402,964,156,138,18,16.18
2015-06-08,1688,1120,259,243,16,23.12
2015-06-09,1450,995,237,215,22,23.82
2015-06-10,1413,949,217,195,22,22.87
2015-06-11,1456,990,191,183,8,19.29
2015-06-12,1480,1004,261,247,14,26
2015-06-13,1530,1023,228,210,18,22.29
2015-06-14,1654,1049,240,224,16,22.88
2015-06-15,1717,1185,229,215,14,19.32
2015-06-16,1448,988,228,208,20,23.08
2015-06-17,1446,1016,233,216,17,22.93
2015-06-18,1334,912,207,198,9,22.7
2015-06-19,1446,980,228,214,14,23.27
2015-06-20,1436,982,197,188,9,20.06
2015-06-21,1410,962,197,187,10,20.48
2015-06-22,1295,923,196,185,11,21.24
2015-06-23,1171,819,211,196,15,25.76
2015-06-24,1318,983,233,204,29,23.7
2015-06-25,1334,908,199,178,21,21.92
2015-06-26,1387,977,230,218,12,23.54
2015-06-27,1524,1051,236,211,25,22.45
2015-06-28,1536,1070,217,206,11,20.28
2015-06-29,1560,1124,269,257,12,23.93
2015-06-30,1326,959,218,202,16,22.73
2015-07-01,1348,991,257,243,14,25.93
2015-07-02,1403,1077,290,278,12,26.93
2015-07-03,1375,1000,263,241,22,26.3
2015-07-04,1570,1082,252,231,21,23.29
2015-07-05,1391,903,205,198,7,22.7
2015-07-06,1707,1138,296,275,21,26.01
2015-07-07,1549,1105,213,200,13,19.28
2015-07-08,1528,1067,228,213,15,21.37
2015-07-09,1480,1010,224,213,11,22.18
2015-07-10,1341,955,235,220,15,24.61
2015-07-11,1601,1152,225,212,13,19.53
2015-07-12,1441,1004,192,170,22,19.12
2015-07-13,1649,1119,249,240,9,22.25
